listing_id,title,current_price,purpose,neighbourhood,bedrooms,flag,corrected_price
3096bd20-b4a7-446c-8877-53847838e8f6,"Luxurious 1 Bedroom Apartment for Rent In City Oasis Gardens, Lavington",65000,rent,Lavington,1,VERIFY,
4936e36a-85e2-46c5-9868-f209337d0737,"Affordable 1 Bedroom All En-suite Apartment for Rent in Lavington, Nairobi",70000,rent,Lavington,1,VERIFY,
0d8f8e32-957f-472e-82ee-410df89b5868,"Semi-Furnished 1 Bedroom En-suite Apartment for Rent in Lavington, Nairobi",70000,rent,Lavington,1,VERIFY,
b102a3e6-f8b7-4c0a-8b52-ec3f11493f9d,"ELEGANT 2 BEDROOM APARTMENT FOR RENT – KILELESHWA",75000,rent,Kileleshwa,2,VERIFY,
7b6965aa-199e-45e5-afaf-201059ef5a9c,"Elegant 2 Bedroom Apartment for Rent In Lavington",80000,rent,Lavington,2,VERIFY,
704a6f77-d41e-4367-a6d5-a893d3499187,"LUXURIOUS 3 BEDROOM HOUSE FOR RENT IN KAREN",85000,rent,Karen,3,VERIFY,
2410c847-a2bd-4d32-9d10-fc72c50d92ee,"Modern Stylish 2 Bedroom All En-suite Apartments for Rent in Westlands Road",85000,rent,Westlands,2,VERIFY,
a49f5558-df8e-437c-9a8e-954137a2564e,"Serviced 1 Bedroom Cottage for Rent in Parklands/Muthaiga Nairobi – UN Approved Compound",85000,rent,Muthaiga,1,VERIFY,
7acc5cec-a619-4eb8-bc3b-c196d116872b,"Executive 3 Bedroom Apartment for Rent in Lavington",90000,rent,Lavington,3,VERIFY,
1db4becc-8d86-4ccc-97ed-6e428506888d,"Executive Modern 2 Bedroom Stylish Apartment To Let in Shangri-La, Westlands",90000,rent,Westlands,2,VERIFY,
055a0d3e-e94b-4eb3-a057-157de900dabe,"Fully Furnished 1 Bedroom Modern Apartment for Rent in Lavington, Nairobi",90000,rent,Lavington,1,VERIFY,
59254843-53aa-4fb0-a515-5701e58732d8,"MODERN 2 BEDROOM APARTMENT FOR RENT",90000,rent,Kileleshwa,2,VERIFY,
9239053c-8ee8-4959-b6e6-a7260e00c40e,"Tastefully Furnished 1 Bedroom Serviced Apartment for Rent in Westlands",99000,rent,Westlands,1,VERIFY,
